Source: Infinity Nikki Wiki (Fandom) — Outfits
URL: https://infinity-nikki.fandom.com/wiki/
License: Content available under CC-BY-SA unless otherwise noted.
Released in Version 1.0.
Topic: Outfits — the clothing-set category in Infinity Nikki; complete list of outfit sets with rarity, style, labels, and source compendium.

===================================================================
OVERVIEW
===================================================================
Outfits is a clothing category in Infinity Nikki. They are clothing sets comprised of wardrobe items.

Once a suit is completed, the user will receive a gift. Pieces of each outfit can be obtained in multiple ways.

Categories: Terminology, Wardrobe Categories, Released in Version 1.0.

===================================================================
OUTFIT LIST
===================================================================
657 clothing items match the category selection. Columns: Name, Rarity, Style, Labels, Compendium (source).

| Name | Rarity | Style | Labels | Compendium |
| --- | --- | --- | --- | --- |
| A Beautiful Day | 3 Star | Elegant | Retro | Exploration Season |
| Adventure Ride | 4 Star | Cool | Adventure | Eerie Season |
| Adventure Ride: Fantasy | 4 Star | Cool | Adventure | Eerie Season |
| Adventure Ride: Shadow Chaser | 4 Star | Cool | Adventure | Eerie Season |
| Afternoon Blossom | 3 Star | Sweet | Aesthetic | Where All Souls Return |
| Afternoon Shine | 4 Star | Sweet | Adventure | Exploration Season |
| Afternoon Shine: Lakeside | 4 Star | Sweet | Adventure | Exploration Season |
| Afternoon Shine: Rain | 4 Star | Sweet | Adventure | Exploration Season |
| All-Night Party | 3 Star | Cool | Playful | Revelry Season |
| Among Bamboo Shadows | 3 Star | Fresh | Linlang | Playful Season |
| Art of Tailoring | 4 Star | Sweet | Playful, Fashion | Revelry Season |
| Art of Tailoring: Dream Shaper | 4 Star | Sweet | Playful, Fashion | Revelry Season |
| Art of Tailoring: Scarlet | 4 Star | Sweet | Playful, Fashion | Revelry Season |
| Balloon Trip | 4 Star | Sweet | Playful, Cute | Playful Season |
| Balloon Trip: Donut | 4 Star | Sweet | Playful, Cute | Playful Season |
| Balloon Trip: Sour Candy | 4 Star | Sweet | Playful, Cute | Playful Season |
| Behind Prayers | 5 Star | Sweet | Divine, Royal | Terra's Call |
| Behind Prayers: Bright Moon | 5 Star | Sweet | Divine, Royal | Terra's Call |
| Behind Prayers: Green Woods | 5 Star | Sweet | Divine, Royal | Terra's Call |
| Behind Prayers: Silent Ashes | 5 Star | Sweet | Divine, Royal | Terra's Call |
| Behind Prayers: Somber Nights | 5 Star | Sweet | Divine, Royal | Terra's Call |
| Bibcoon Realm | 3 Star | Sexy | Playful | Exploration Season |
| Blooming Brocade | 4 Star | Sweet | Retro, Pastoral | Danqing Season |
| Blooming Brocade: Departure | 4 Star | Sweet | Retro, Pastoral | Danqing Season |
| Blooming Brocade: Old Tales | 4 Star | Sweet | Retro, Pastoral | Danqing Season |
